trade_date,market_amount
20240102,810412077.786
20240103,756647301.059
20240104,690224320.876
20240105,754815243.4490001
20240108,670566481.992
20240109,687287583.6769999
20240110,657043302.443
20240111,722319097.488
20240112,689437658.467
20240115,619081940.7509999
20240116,697534905.665
20240117,649458707.2060001
20240118,877203934.5939999
20240119,680584729.202
20240122,805443186.836
20240123,713452115.9289999
20240124,777494907.483
20240125,903490861.196
20240126,839736497.5999999
20240129,815319676.1159999
20240130,671403738.2260001
20240131,767430665.4530001
20240201,711179685.6159999
20240202,814404913.182
20240205,885322957.029
20240206,936287603.8470001
20240207,1033534462.754
20240208,1025329726.2700001
20240219,965012140.436
20240220,798776265.1429999
20240221,990258995.785
20240222,830951224.316
20240223,930378748.796
20240226,997781643.3010001
20240227,1003067749.412
20240228,1371649899.846
20240229,1063696978.688
20240301,1065916286.921
20240304,1086265623.261
20240305,1075854204.0210001
20240306,939711838.8310001
20240307,989742746.6949999
20240308,866693949.0009999
20240311,1012526414.094
20240312,1151779452.737
20240313,1060743789.174
20240314,1013201616.035
20240315,953826372.875
20240318,1145341817.0240002
20240319,1084943446.854
20240320,1005692770.5469999
20240321,1074201835.789
20240322,1103115013.787
20240325,1049304743.4649999
20240326,960999332.96
20240327,894542589.121
20240328,937413651.4130001
20240329,863396040.368
20240401,1003859830.2910001
20240402,972701002.086
20240403,922640499.937
20240408,935955443.2850001
20240409,799806628.685
20240410,837476212.917
20240411,817935639.6259999
20240412,814655656.609
20240415,1002048699.733
20240416,952064897.791
20240417,923872152.5500001
20240418,955560896.193
20240419,865338692.388
20240422,825853260.5450001
20240423,779321208.031
20240424,799326664.824
20240425,778028921.609
20240426,1091130576.301
20240429,1216893746.013
20240430,1035607811.4959999
20240506,1107152247.4369998
20240507,973066357.295
20240508,868784154.048
20240509,905857068.849
20240510,916763470.46
20240513,913436077.597
20240514,827605127.153
20240515,764084671.043
20240516,850456264.63
20240517,890184275.274
20240520,998260616.561
20240521,801925673.622
20240522,834266654.7260001
20240523,855915356.517
20240524,769227662.7409999
20240527,778550128.3889999
20240528,745401974.6629999
20240529,711809572.027
20240530,726817318.702
20240531,717853303.4790001
20240603,833942642.822
20240604,748900292.6370001
20240605,691542698.2609999
20240606,849209743.5419999
20240607,719131772.112
20240611,705307997.8510001
20240612,694136451.733
20240613,755110981.681
20240614,850851802.534
20240617,754019526.039
20240618,739586955.954
20240619,708881416.167
20240620,727848562.445
20240621,623509481.7060001
20240624,699298779.4219999
20240625,651403423.0550001
20240626,646585314.981
20240627,630219762.152
20240628,706463314.902
20240701,660948188.1890001
20240702,647620053.729
20240703,583550007.588
20240704,586812682.019
20240705,578496038.9890001
20240708,585102736.338
20240709,727849630.679
20240710,680646159.795
20240711,790562173.976
20240712,692008608.358
20240715,606493468.463
20240716,647384926.8740001
20241212,1889303948.73
20241213,2091138542.104
20241216,1717601894.596
20241217,1526307198.447
20241218,1377216803.247
20241219,1465941593.8930001
20241220,1534628173.093
20241223,1547020092.572
20241224,1322737445.903
20241225,1296592406.3899999
20241226,1287682770.6729999
20241227,1450758766.479
20241230,1290429237.811
20241231,1359943471.869
20250102,1410651673.201
20250103,1283226849.757
20250106,1071937166.2949998
20250107,1090150622.356
20250108,1258458691.569
20250109,1130752028.204
20250110,1163749308.724
20250113,976834551.2919999
20250114,1372898098.58
20250115,1212427115.6569998
20250116,1293536742.63
20250117,1152364104.854
20250120,1197444391.5809999
20250121,1218376962.0640001
20250122,1148350025.6360002
20250123,1370349188.146
20250124,1234399809.769
20250127,1128266893.069
20250205,1300859530.552
20250206,1555978663.94
20250207,1992952080.565
20250210,1760505936.651
20250211,1678706850.785
20250212,1712502990.395
20250213,1855383967.487
20250214,1745963506.57
20250217,1971784537.464
20250218,1826288339.718
20250219,1749226887.935
20250220,1791461772.071
20250221,2231055062.032
20250224,2115366051.297
20250225,1925476808.659
20250226,1969700729.891
20250227,2041891633.785
20250228,1905494740.217
20250303,1664258272.167
20250304,1479897081.1169999
20250305,1545688880.327
20250306,1953215827.449
20250307,1861574032.759
20250310,1544009166.629
20250311,1519815520.468
20250312,1725542549.7059999
20250313,1648364479.0479999
20250314,1840945337.4139998
20250317,1620934353.723
20250318,1564221754.568
20250319,1506897484.249
20250320,1476617368.231
20250321,1579748404.5879998
20250324,1474431017.756
20250325,1287496163.838
20250326,1180175661.443
20250327,1216764522.167
20250328,1145017107.505
20250331,1243292320.8720002
20250401,1152781563.9049997
20250402,992702827.546
20250403,1158224646.164
20250407,1617968460.18
20250408,1653205775.275
20250409,1740999490.648
20250410,1659048985.089
20250411,1390685079.862
20250414,1312666590.5939999
20250415,1110222911.103
20250416,1140807385.932
20250417,1030415699.576
20250418,949173681.42
20250421,1073580343.55
20250422,1121207482.2979999
20250423,1262462397.371
20250424,1138919178.277
20250425,1137010714.2589998
20250428,1076781760.663
20250429,1041734612.7629999
20250430,1193093662.3930001
20250506,1364447474.508
20250507,1505072310.745
20250508,1321796951.561
20250509,1222385883.0770001
20250512,1340867358.3
20250513,1326019639.583
20250514,1349914601.603
20250515,1190419197.823
20250516,1124115343.611
20250519,1118881570.311
20250520,1211226034.396
20250521,1214372706.144
20250522,1139705240.128
20250523,1182563708.645
20250526,1033872196.332
20250527,1024122599.014
20250528,1033873190.229
20250529,1213409808.014
20250530,1164246057.86
20250603,1163829628.083
20250604,1177412986.363
20250605,1316962323.1929998
20250606,1177213008.031
20250609,1312655449.256
20250610,1451437055.02
20250611,1286677170.206
20250612,1303622792.3920002
20250613,1503996573.375
20250616,1243641397.1160002
20250617,1237136332.106
20250618,1221763879.841
20250619,1280889732.368
20250620,1091739560.696
20250623,1146922416.237
20250624,1448058587.658
20250625,1639505977.565
20250626,1623222763.633
20250627,1575690673.3140001
20250630,1517370401.139
20250701,1496531050.5670002
20250702,1405108669.699
20250703,1333505856.979
20250704,1454519456.4520001
20250707,1227066824.609
20250708,1474612593.734
20250709,1527420220.142
20250710,1515067527.1430001
20250711,1736609696.489
20250714,1480922102.493
20250715,1635004507.249
20250716,1461734218.4440002
20250717,1560274264.552
20250718,1593318991.3439999
20250721,1727135080.204
20250722,1928645026.624
20250723,1898370906.158
20250724,1873880698.767
20250725,1815451234.1209998
20250728,1766150090.249
20250729,1829309368.78
20250730,1870976302.1100001
20250731,1961849007.7989998
20250801,1619883671.4129999
20250804,1518202456.0830002
20250805,1615821323.538
20250806,1759241728.842
20250807,1852479305.1690001
20250808,1736302971.196
20250811,1849917267.63
20250812,1905210430.221
20250813,2175210716.098
20250814,2306282565.235
20250815,2272838040.823
20250818,2809130228.295
20250819,2640679593.8599997
20250820,2448414475.101
20250821,2460335049.734
20250822,2578842283.783
20250825,3176948203.5629997
20250826,2709831065.742
20250827,3197788291.965
20250828,3000890233.547
20250829,2830197224.9830003
20250901,2777646700.6219997
20250902,2912423043.022
20250903,2395682256.551
20250904,2581892828.988
20250905,2348359289.7860003
20250908,2463137922.366
20250909,2152080368.4500003
20250910,2003952265.9100003
20250911,2464592729.692
20250912,2548311820.4449997
20250915,2303180069.986
20250916,2367069158.71
20250917,2402923862.912
20250918,3166643257.6800003
20250919,2349413156.76
20250922,2142462764.493
20250923,2518471303.486
20250924,2347154285.9300003
20250925,2391770731.518
20250926,2166107175.891
20250929,2178142641.662
20250930,2197249493.905
20251009,2671818087.96
20251010,2534146454.094
20251013,2374221492.666
20251014,2596585408.8389997
