index_code,industry_name,level,industry_code,is_pub,parent_code,src
801010.SI,农林牧渔,L1,110000,1,0,SW2021
801030.SI,基础化工,L1,220000,1,0,SW2021
801040.SI,钢铁,L1,230000,1,0,SW2021
801050.SI,有色金属,L1,240000,1,0,SW2021
801080.SI,电子,L1,270000,1,0,SW2021
801880.SI,汽车,L1,280000,1,0,SW2021
801110.SI,家用电器,L1,330000,1,0,SW2021
801120.SI,食品饮料,L1,340000,1,0,SW2021
801130.SI,纺织服饰,L1,350000,1,0,SW2021
801140.SI,轻工制造,L1,360000,1,0,SW2021
801150.SI,医药生物,L1,370000,1,0,SW2021
801160.SI,公用事业,L1,410000,1,0,SW2021
801170.SI,交通运输,L1,420000,1,0,SW2021
801180.SI,房地产,L1,430000,1,0,SW2021
801200.SI,商贸零售,L1,450000,1,0,SW2021
801210.SI,社会服务,L1,460000,1,0,SW2021
801780.SI,银行,L1,480000,1,0,SW2021
801790.SI,非银金融,L1,490000,1,0,SW2021
801230.SI,综合,L1,510000,1,0,SW2021
801710.SI,建筑材料,L1,610000,1,0,SW2021
801720.SI,建筑装饰,L1,620000,1,0,SW2021
801730.SI,电力设备,L1,630000,1,0,SW2021
801890.SI,机械设备,L1,640000,1,0,SW2021
801740.SI,国防军工,L1,650000,1,0,SW2021
801750.SI,计算机,L1,710000,1,0,SW2021
801760.SI,传媒,L1,720000,1,0,SW2021
801770.SI,通信,L1,730000,1,0,SW2021
801950.SI,煤炭,L1,740000,1,0,SW2021
801960.SI,石油石化,L1,750000,1,0,SW2021
801970.SI,环保,L1,760000,1,0,SW2021
801980.SI,美容护理,L1,770000,1,0,SW2021
801016.SI,种植业,L2,110100,1,110000,SW2021
801015.SI,渔业,L2,110200,1,110000,SW2021
801011.SI,林业Ⅱ,L2,110300,0,110000,SW2021
801014.SI,饲料,L2,110400,1,110000,SW2021
801012.SI,农产品加工,L2,110500,1,110000,SW2021
801017.SI,养殖业,L2,110700,1,110000,SW2021
801018.SI,动物保健Ⅱ,L2,110800,1,110000,SW2021
801019.SI,农业综合Ⅱ,L2,110900,0,110000,SW2021
801033.SI,化学原料,L2,220200,1,220000,SW2021
801034.SI,化学制品,L2,220300,1,220000,SW2021
801032.SI,化学纤维,L2,220400,1,220000,SW2021
801036.SI,塑料,L2,220500,1,220000,SW2021
801037.SI,橡胶,L2,220600,1,220000,SW2021
801038.SI,农化制品,L2,220800,1,220000,SW2021
801039.SI,非金属材料Ⅱ,L2,220900,1,220000,SW2021
801043.SI,冶钢原料,L2,230300,1,230000,SW2021
801044.SI,普钢,L2,230400,1,230000,SW2021
801045.SI,特钢Ⅱ,L2,230500,1,230000,SW2021
801051.SI,金属新材料,L2,240200,1,240000,SW2021
801055.SI,工业金属,L2,240300,1,240000,SW2021
801053.SI,贵金属,L2,240400,1,240000,SW2021
801054.SI,小金属,L2,240500,1,240000,SW2021
801056.SI,能源金属,L2,240600,1,240000,SW2021
801081.SI,半导体,L2,270100,1,270000,SW2021
801083.SI,元件,L2,270200,1,270000,SW2021
801084.SI,光学光电子,L2,270300,1,270000,SW2021
801082.SI,其他电子Ⅱ,L2,270400,1,270000,SW2021
801085.SI,消费电子,L2,270500,1,270000,SW2021
801086.SI,电子化学品Ⅱ,L2,270600,1,270000,SW2021
801093.SI,汽车零部件,L2,280200,1,280000,SW2021
801092.SI,汽车服务,L2,280300,1,280000,SW2021
801881.SI,摩托车及其他,L2,280400,1,280000,SW2021
801095.SI,乘用车,L2,280500,1,280000,SW2021
801096.SI,商用车,L2,280600,1,280000,SW2021
801111.SI,白色家电,L2,330100,1,330000,SW2021
801112.SI,黑色家电,L2,330200,1,330000,SW2021
801113.SI,小家电,L2,330300,1,330000,SW2021
