industry_code,industry_name,latest_date,close,pct_change,amount,float_mv,float_mv_yi,total_mv,total_mv_yi,passes_total_mv_gate,sample_pool
801080.SI,电子,20260602,9400.14,2.62,81139991.0,972832671.0,97283.2671,2009672076.0,200967.2076,True,主扫描池
801780.SI,银行,20260602,3981.87,0.62,3004201.0,248356507.0,24835.6507,1052014995.0,105201.4995,True,主扫描池
801730.SI,电力设备,20260602,11422.9,-0.17,25998721.0,508551020.0,50855.102,922303801.0,92230.3801,True,主扫描池
801890.SI,机械设备,20260602,2475.08,1.23,20691626.0,328141202.0,32814.1202,659787693.0,65978.7693,True,主扫描池
801770.SI,通信,20260602,8771.31,5.71,24420283.0,343629017.0,34362.9017,580509790.0,58050.979,True,主扫描池
801150.SI,医药生物,20260602,7362.29,-1.35,8396198.0,286435283.0,28643.5283,571023005.0,57102.3005,True,主扫描池
801790.SI,非银金融,20260602,1714.52,0.02,4677076.0,234708746.0,23470.8746,550248081.0,55024.8081,True,主扫描池
801050.SI,有色金属,20260602,8960.17,3.26,16519041.0,289622868.0,28962.2868,549086136.0,54908.6136,True,主扫描池
801030.SI,基础化工,20260602,4600.33,-0.15,11812359.0,227794396.0,22779.4396,471146152.0,47114.6152,True,主扫描池
801750.SI,计算机,20260602,4826.25,-0.76,13860695.0,248939107.0,24893.9107,443550898.0,44355.0898,True,主扫描池
801880.SI,汽车,20260602,7425.3,0.3,8361968.0,198087683.0,19808.7683,430903925.0,43090.3925,True,主扫描池
801160.SI,公用事业,20260602,2873.21,-0.83,11894853.0,128188755.0,12818.8755,428151299.0,42815.1299,True,主扫描池
801120.SI,食品饮料,20260602,14565.79,-1.04,3386170.0,163701905.0,16370.1905,387008167.0,38700.8167,True,主扫描池
801740.SI,国防军工,20260602,1821.99,-0.16,6972329.0,148916059.0,14891.6059,320501712.0,32050.1712,True,主扫描池
801960.SI,石油石化,20260602,2678.35,-0.5,1594730.0,54716907.0,5471.6907,314859947.0,31485.9947,True,主扫描池
801170.SI,交通运输,20260602,2144.53,-0.93,2616858.0,93102318.0,9310.2318,298141831.0,29814.1831,True,主扫描池
801950.SI,煤炭,20260602,3438.53,-1.12,3224624.0,53540376.0,5354.0376,209223156.0,20922.3156,True,主扫描池
801110.SI,家用电器,20260602,8930.66,0.63,2485968.0,105800336.0,10580.0336,189421083.0,18942.1083,True,主扫描池
801720.SI,建筑装饰,20260602,2121.95,-0.73,3919967.0,72370361.0,7237.0361,183506121.0,18350.6121,True,主扫描池
801760.SI,传媒,20260602,740.28,-3.04,5678325.0,88277363.0,8827.7363,156177555.0,15617.7555,True,主扫描池
801010.SI,农林牧渔,20260602,2466.56,-2.33,1604327.0,56494360.0,5649.436,120059162.0,12005.9162,True,主扫描池
801710.SI,建筑材料,20260602,6603.06,-0.07,4043173.0,47198836.0,4719.8836,118377100.0,11837.71,True,主扫描池
801180.SI,房地产,20260602,2043.31,-1.63,2125967.0,47272864.0,4727.2864,107161631.0,10716.1631,True,主扫描池
801140.SI,轻工制造,20260602,2322.2,-1.07,2140721.0,42129052.0,4212.9052,104409092.0,10440.9092,True,主扫描池
801970.SI,环保,20260602,2103.96,-0.64,2087550.0,42790758.0,4279.0758,97414776.0,9741.4776,True,主扫描池
801200.SI,商贸零售,20260602,1961.81,-1.96,2271630.0,42401020.0,4240.102,95292971.0,9529.2971,True,主扫描池
801040.SI,钢铁,20260602,2371.1,-1.0,933590.0,31199230.0,3119.923,90120693.0,9012.0693,True,主扫描池
801130.SI,纺织服饰,20260602,1602.66,-1.19,1161758.0,25562075.0,2556.2075,63216908.0,6321.6908,True,主扫描池
801210.SI,社会服务,20260602,7866.73,-1.47,1024645.0,25320383.0,2532.0383,49709535.0,4970.9535,False,池外
801980.SI,美容护理,20260602,3684.24,-2.78,348169.0,9479876.0,947.9876,24671556.0,2467.1556,False,池外
801230.SI,综合,20260602,4613.73,-0.82,487550.0,9195146.0,919.5146,18657269.0,1865.7269,False,池外
