theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,final_label,crowding_label,total_mv_yi,leader_top1_name
159870.SZ,801034.SI,化学制品,基础化工,0.9159754876639488,594,观察中,拥挤偏高,18417.9576,万华化学
159870.SZ,801038.SI,农化制品,基础化工,0.91343753869639,594,未启动,拥挤正常,7889.2246,盐湖股份
159870.SZ,801033.SI,化学原料,基础化工,0.8790174608714127,594,未启动,拥挤正常,7720.9418,宝丰能源
159870.SZ,801043.SI,冶钢原料,,0.7986614183954933,594,,,,
159870.SZ,801032.SI,化学纤维,基础化工,0.7838997251324838,594,未启动,拥挤正常,2934.0157,华峰化学
159870.SZ,801056.SI,能源金属,有色金属,0.782960093167419,594,未启动,拥挤正常,6804.5738,赣锋锂业
159870.SZ,801045.SI,特钢Ⅱ,,0.7372219787231262,594,,,,
159870.SZ,801724.SI,专业工程,建筑装饰,0.7192814890215861,594,观察中,拥挤正常,4363.8171,中国中冶
159870.SZ,801737.SI,电池,电力设备,0.7177322649498317,594,观察中,拥挤正常,39602.4747,宁德时代
159870.SZ,801153.SI,医疗器械,医药生物,0.7062595238091494,594,未启动,拥挤正常,12064.6167,迈瑞医疗
159870.SZ,801143.SI,造纸,,0.7047992649310898,594,,,,
159870.SZ,801713.SI,装修建材,建筑材料,0.697415647889823,594,未启动,拥挤正常,2660.059,北新建材
159870.SZ,801218.SI,专业服务,社会服务,0.6964182208530284,594,观察中,拥挤正常,2278.4603,胜科纳米
159870.SZ,801012.SI,农产品加工,农林牧渔,0.6948579600633049,594,未启动,拥挤正常,2608.4423,金龙鱼
159870.SZ,801178.SI,物流,交通运输,0.6922182349184617,594,未启动,拥挤正常,5831.6042,顺丰控股
159870.SZ,801971.SI,环境治理,环保,0.6917662057122875,594,未启动,拥挤正常,7619.2241,电投水电
159870.SZ,801036.SI,塑料,基础化工,0.6913124757800787,594,趋势延续型偏强,拥挤偏高,8677.1277,东材科技
159870.SZ,801074.SI,专用设备,机械设备,0.6838759257573753,594,趋势延续型偏强,拥挤正常,18282.2023,杰瑞股份
159870.SZ,801054.SI,小金属,有色金属,0.6784076927094429,594,趋势延续型偏强,过热预警,14668.8022,中钨高新
159870.SZ,801963.SI,炼化及贸易,石油石化,0.6776023231916065,594,未启动,拥挤正常,25745.1678,中国石油
159870.SZ,801037.SI,橡胶,,0.6770620102933037,594,,,,
159870.SZ,801124.SI,食品加工,食品饮料,0.6770022187259448,594,未启动,拥挤正常,2186.6547,双汇发展
159870.SZ,801152.SI,生物制品,医药生物,0.6724331662264914,594,未启动,拥挤正常,6588.0344,荣昌生物
159870.SZ,801142.SI,家居用品,轻工制造,0.6699640458925117,594,未启动,拥挤正常,4638.8267,公牛集团
159870.SZ,801155.SI,中药Ⅱ,医药生物,0.6691771866366097,594,未启动,拥挤正常,7266.7108,云南白药
159870.SZ,801055.SI,工业金属,有色金属,0.6690891477725116,594,观察中,拥挤正常,25504.5514,紫金矿业
159870.SZ,801044.SI,普钢,钢铁,0.663026169959285,594,未启动,拥挤正常,5030.3203,宝钢股份
159870.SZ,801972.SI,环保设备Ⅱ,,0.6607758041919874,594,,,,
159870.SZ,801735.SI,光伏设备,电力设备,0.6589788288939955,594,观察中,拥挤正常,16937.7071,阳光电源
159870.SZ,801736.SI,风电设备,电力设备,0.6536560202384482,594,观察中,拥挤正常,4052.6607,金风科技
159870.SZ,801129.SI,调味发酵品Ⅱ,食品饮料,0.6498755040548189,594,观察中,拥挤偏高,3168.6113,海天味业
159870.SZ,801093.SI,汽车零部件,汽车,0.6482874464777554,594,观察中,拥挤正常,26120.5969,潍柴动力
159870.SZ,801154.SI,医药商业,医药生物,0.6448056309001882,594,未启动,拥挤正常,2823.324,上海医药
159870.SZ,801051.SI,金属新材料,有色金属,0.6441592358730556,594,趋势延续型偏强,拥挤正常,4743.0744,金力永磁
159870.SZ,801738.SI,电网设备,电力设备,0.6382133088576538,594,观察中,拥挤正常,18312.6492,国电南瑞
159870.SZ,801982.SI,化妆品,,0.6371632906424862,594,,,,
159870.SZ,801039.SI,非金属材料Ⅱ,,0.6366837653900597,594,,,,
159870.SZ,801712.SI,玻璃玻纤,建筑材料,0.6359980775466002,594,趋势延续型偏强,过热退潮,8786.7796,宏和科技
159870.SZ,801193.SI,证券Ⅱ,非银金融,0.6354352801895298,594,未启动,拥挤正常,30756.1174,中信证券
159870.SZ,801711.SI,水泥,建筑材料,0.634202954476671,594,观察中,拥挤正常,2222.1133,海螺水泥
159870.SZ,801141.SI,包装印刷,轻工制造,0.6337315617208042,594,未启动,拥挤正常,2701.0523,裕同科技
159870.SZ,801132.SI,服装家纺,纺织服饰,0.6325968481020732,594,未启动,拥挤正常,3158.359,雅戈尔
159870.SZ,801723.SI,基础建设,建筑装饰,0.6289940447183612,594,未启动,拥挤正常,7585.8369,中国能建
159870.SZ,801156.SI,医疗服务,医药生物,0.6271174435705689,594,观察中,拥挤正常,7908.5044,药明康德
159870.SZ,801076.SI,轨交设备Ⅱ,机械设备,0.6254185019023701,594,未启动,拥挤正常,3883.007,中国中车
159870.SZ,801131.SI,纺织制造,,0.6218867413218041,594,,,,
159870.SZ,801202.SI,贸易Ⅱ,,0.6217107356733785,594,,,,
159870.SZ,801072.SI,通用设备,机械设备,0.6214813064423659,594,趋势延续型偏强,拥挤正常,25996.954,鼎泰高科
159870.SZ,801952.SI,焦炭Ⅱ,,0.619924858695857,594,,,,
159870.SZ,801077.SI,工程机械,机械设备,0.6185705806991594,594,未启动,拥挤正常,7392.3914,三一重工
159870.SZ,801151.SI,化学制药,医药生物,0.6150580732816244,594,观察中,拥挤正常,17876.212,恒瑞医药
159870.SZ,801191.SI,多元金融,非银金融,0.613488765960732,594,未启动,拥挤正常,5648.2168,电投产融
159870.SZ,801084.SI,光学光电子,电子,0.6133508425045359,594,趋势延续型偏强,过热预警,15957.9547,京东方A
159870.SZ,801086.SI,电子化学品Ⅱ,电子,0.6115407855086452,594,趋势延续型偏强,过热预警,8995.394,国瓷材料
159870.SZ,801078.SI,自动化设备,机械设备,0.6084538287299828,594,趋势延续型偏强,过热预警,16215.5312,汇川技术
159870.SZ,801733.SI,其他电源设备Ⅱ,电力设备,0.6070810324982185,594,趋势延续型偏强,拥挤正常,7624.7519,上海电气
159870.SZ,801181.SI,房地产开发,房地产,0.6018299955132018,594,未启动,拥挤正常,9481.4015,招商蛇口
159870.SZ,801101.SI,计算机设备,计算机,0.6017084156836104,594,观察中,拥挤正常,12879.951,海康威视
159870.SZ,801018.SI,动物保健Ⅱ,,0.5943890720459858,594,,,,
159870.SZ,801014.SI,饲料,,0.5940780812857718,594,,,,
159870.SZ,801981.SI,个护用品,,0.5935184531753092,594,,,,
159870.SZ,801742.SI,航空装备Ⅱ,国防军工,0.5920059142438338,594,未启动,拥挤正常,9951.9644,中航沈飞
159870.SZ,801095.SI,乘用车,汽车,0.5845168975265409,594,未启动,拥挤正常,9673.2071,比亚迪
159870.SZ,801092.SI,汽车服务,,0.5808352055876899,594,,,,
159870.SZ,801114.SI,厨卫电器,,0.5797831844575723,594,,,,
159870.SZ,801128.SI,休闲食品,,0.578289149495931,594,,,,
159870.SZ,801726.SI,工程咨询服务Ⅱ,建筑装饰,0.5747670950234899,594,观察中,拥挤正常,2172.8463,太极实业
159870.SZ,801126.SI,非白酒,,0.5689410043753153,594,,,,
159870.SZ,801745.SI,军工电子Ⅱ,国防军工,0.5657728087764905,594,观察中,拥挤正常,11880.107,中航成飞
159870.SZ,801991.SI,航空机场,交通运输,0.5642312365777611,594,未启动,拥挤正常,4864.1275,中国国航
159870.SZ,801104.SI,软件开发,计算机,0.5622770147425845,594,观察中,拥挤正常,16442.3705,同花顺
159870.SZ,801731.SI,电机Ⅱ,电力设备,0.5620573968202638,594,观察中,拥挤正常,3248.1253,卧龙电驱
159870.SZ,801163.SI,燃气Ⅱ,公用事业,0.5582353523015021,594,未启动,拥挤正常,2617.0921,新奥股份
159870.SZ,801115.SI,照明设备Ⅱ,,0.554776794555901,594,,,,
159870.SZ,801721.SI,房屋建设Ⅱ,建筑装饰,0.5528833019296342,594,未启动,拥挤正常,2641.1787,中国建筑
159870.SZ,801085.SI,消费电子,电子,0.5527803209577252,594,趋势延续型偏强,过热预警,41927.2158,工业富联
159870.SZ,801992.SI,航运港口,交通运输,0.5523647351256307,594,未启动,拥挤正常,10408.0151,中远海控
159870.SZ,801113.SI,小家电,,0.5519758501721757,594,,,,
159870.SZ,801764.SI,游戏Ⅱ,传媒,0.5449615368509335,594,观察中,拥挤正常,4578.8044,世纪华通
159870.SZ,801231.SI,综合Ⅱ,,0.5436868691356427,594,,,,
159870.SZ,801881.SI,摩托车及其他,,0.53627640145052,594,,,,
159870.SZ,801204.SI,专业连锁Ⅱ,,0.5361449174971753,594,,,,
159870.SZ,801112.SI,黑色家电,,0.535358096163867,594,,,,
159870.SZ,801082.SI,其他电子Ⅱ,电子,0.5349090202805751,594,趋势延续型偏强,过热预警,5675.455,香农芯创
159870.SZ,801133.SI,饰品,,0.5348870476280831,594,,,,
159870.SZ,801127.SI,饮料乳品,食品饮料,0.5313650206294637,594,未启动,拥挤正常,4054.3182,伊利股份
159870.SZ,801096.SI,商用车,汽车,0.5305637561911077,594,未启动,拥挤正常,2689.8258,江淮汽车
159870.SZ,801016.SI,种植业,,0.529134896219695,594,,,,
159870.SZ,801145.SI,文娱用品,,0.5281268576042696,594,,,,
159870.SZ,801116.SI,家电零部件Ⅱ,家用电器,0.5267800435221441,594,未启动,拥挤正常,3588.3551,三花智控
159870.SZ,801017.SI,养殖业,农林牧渔,0.5228989634249473,594,未启动,拥挤正常,4424.2332,牧原股份
159870.SZ,801081.SI,半导体,电子,0.5198913008143123,594,趋势延续型偏强,过热预警,118541.6491,中芯国际
159870.SZ,801103.SI,IT服务Ⅱ,计算机,0.519396905236848,594,观察中,拥挤正常,13611.9506,南网数字
159870.SZ,801203.SI,一般零售,商贸零售,0.5155803412896465,594,未启动,拥挤正常,4554.2555,小商品城
159870.SZ,801722.SI,装修装饰Ⅱ,,0.5141641435178504,594,,,,
159870.SZ,801206.SI,互联网电商,,0.5101000135108322,594,,,,
159870.SZ,801194.SI,保险Ⅱ,非银金融,0.5054412218784434,594,观察中,拥挤偏高,17894.3843,中国人寿
159870.SZ,801993.SI,旅游及景区,,0.5004739052024196,594,,,,
159870.SZ,801219.SI,酒店餐饮,,0.49994034374161855,594,,,,
159870.SZ,801995.SI,电视广播Ⅱ,,0.49849889642799017,594,,,,
159870.SZ,801744.SI,航海装备Ⅱ,国防军工,0.4974771140044987,594,观察中,拥挤正常,4935.4463,中国船舶
159870.SZ,801183.SI,房地产服务,,0.4968910336592081,594,,,,
159870.SZ,801125.SI,白酒Ⅱ,食品饮料,0.4922046080383541,594,观察中,拥挤正常,23224.6044,贵州茅台
159870.SZ,801767.SI,数字媒体,,0.4855885397283136,594,,,,
159870.SZ,801161.SI,电力,公用事业,0.48048878865814904,594,未启动,拥挤正常,35360.8857,长江电力
159870.SZ,801962.SI,油服工程,,0.4788738951836402,594,,,,
159870.SZ,801223.SI,通信服务,通信,0.4648376705080408,594,观察中,拥挤正常,10519.5373,中国移动
159870.SZ,801743.SI,地面兵装Ⅱ,,0.46078647392747757,594,,,,
159870.SZ,801741.SI,航天装备Ⅱ,国防军工,0.4596626435868565,594,趋势延续型偏强,拥挤正常,4584.1965,中国卫通
159870.SZ,801083.SI,元件,电子,0.45692392467762233,594,趋势延续型偏强,过热预警,40131.1875,东山精密
159870.SZ,801102.SI,通信设备,通信,0.45254199068162065,594,趋势延续型偏强,拥挤偏高,53990.4466,中际旭创
159870.SZ,801765.SI,广告营销,传媒,0.45041133603749056,594,观察中,拥挤正常,2834.167,分众传媒
159870.SZ,801994.SI,教育,,0.4455276781541982,594,,,,
159870.SZ,801766.SI,影视院线,,0.4441666564283591,594,,,,
159870.SZ,801769.SI,出版,传媒,0.4438625589072416,594,未启动,拥挤正常,2441.193,凤凰传媒
159870.SZ,801179.SI,铁路公路,交通运输,0.44211416486491395,594,未启动,拥挤正常,7106.2427,京沪高铁
159870.SZ,801053.SI,贵金属,有色金属,0.4206504791705228,594,未启动,拥挤正常,4696.5443,山东黄金
159870.SZ,801015.SI,渔业,,0.419662661877116,594,,,,
159870.SZ,801951.SI,煤炭开采,煤炭,0.4072627107735288,594,未启动,拥挤正常,17661.8161,中国神华
159870.SZ,801111.SI,白色家电,家用电器,0.36454261164291374,594,未启动,拥挤正常,9352.9894,美的集团
159870.SZ,801785.SI,农商行Ⅱ,银行,0.2919427180788956,594,未启动,拥挤正常,2328.8927,沪农商行
159870.SZ,801783.SI,股份制银行Ⅱ,银行,0.2750388722155402,594,未启动,拥挤正常,23849.4405,招商银行
159870.SZ,801784.SI,城商行Ⅱ,银行,0.25865420656633364,594,未启动,拥挤正常,11956.8078,江苏银行
159870.SZ,801782.SI,国有大型银行Ⅱ,银行,-0.05140277390882646,594,未启动,拥挤正常,63967.4784,建设银行
