theme_code,sw_code,sw_name,l1_name,corr_daily_ret,common_days,first_common_date,latest_common_date,final_label,crowding_label,total_mv_yi,leader_top1_name
512200.SH,801181.SI,房地产开发,房地产,0.984101710266677,611,20240102,20260714,未启动,拥挤正常,8500.2216,招商蛇口
512200.SH,801183.SI,房地产服务,,0.8819111460132876,611,20240102,20260714,,,,
512200.SH,801713.SI,装修建材,建筑材料,0.8259535115647028,611,20240102,20260714,观察中,拥挤正常,2323.6708,北新建材
512200.SH,801142.SI,家居用品,轻工制造,0.7876388995237912,611,20240102,20260714,未启动,拥挤正常,4364.2119,公牛集团
512200.SH,801722.SI,装修装饰Ⅱ,,0.7156242242312929,611,20240102,20260714,,,,
512200.SH,801711.SI,水泥,建筑材料,0.7020446417994809,611,20240102,20260714,观察中,拥挤正常,2111.9702,海螺水泥
512200.SH,801178.SI,物流,交通运输,0.6982055821706235,611,20240102,20260714,未启动,拥挤正常,5991.203,顺丰控股
512200.SH,801724.SI,专业工程,建筑装饰,0.6977782173762059,611,20240102,20260714,观察中,拥挤正常,3997.2159,中国中冶
512200.SH,801971.SI,环境治理,环保,0.6954929117328634,611,20240102,20260714,观察中,拥挤正常,6599.6799,电投水电
512200.SH,801203.SI,一般零售,商贸零售,0.6871456082054227,611,20240102,20260714,观察中,拥挤正常,4434.4896,小商品城
512200.SH,801124.SI,食品加工,食品饮料,0.6789570550238169,611,20240102,20260714,观察中,拥挤正常,2179.9342,双汇发展
512200.SH,801721.SI,房屋建设Ⅱ,建筑装饰,0.678109757918505,611,20240102,20260714,未启动,拥挤正常,2603.0373,中国建筑
512200.SH,801143.SI,造纸,,0.6717987897346285,611,20240102,20260714,,,,
512200.SH,801191.SI,多元金融,非银金融,0.668887618019919,611,20240102,20260714,未启动,拥挤正常,4387.0679,电投产融
512200.SH,801141.SI,包装印刷,轻工制造,0.6605225786293422,611,20240102,20260714,观察中,拥挤正常,2365.6513,裕同科技
512200.SH,801012.SI,农产品加工,农林牧渔,0.6594416390314926,611,20240102,20260714,观察中,拥挤正常,2550.9493,金龙鱼
512200.SH,801034.SI,化学制品,基础化工,0.6572153100245077,611,20240102,20260714,观察中,拥挤正常,16979.7652,万华化学
512200.SH,801218.SI,专业服务,,0.6529693183935353,611,20240102,20260714,,,,
512200.SH,801032.SI,化学纤维,基础化工,0.6527511430338448,611,20240102,20260714,未启动,拥挤正常,2502.8979,华峰化学
512200.SH,801723.SI,基础建设,建筑装饰,0.651465157806471,611,20240102,20260714,未启动,拥挤正常,6537.902,中国能建
512200.SH,801132.SI,服装家纺,纺织服饰,0.6504101850698634,611,20240102,20260714,观察中,拥挤正常,3090.9885,雅戈尔
512200.SH,801726.SI,工程咨询服务Ⅱ,建筑装饰,0.6493362020175639,611,20240102,20260714,观察中,拥挤偏高,2048.1293,太极实业
512200.SH,801092.SI,汽车服务,,0.6435689631411121,611,20240102,20260714,,,,
512200.SH,801202.SI,贸易Ⅱ,,0.6404435781902217,611,20240102,20260714,,,,
512200.SH,801219.SI,酒店餐饮,,0.636074574019193,611,20240102,20260714,,,,
512200.SH,801126.SI,非白酒,,0.634769942659119,611,20240102,20260714,,,,
512200.SH,801114.SI,厨卫电器,,0.6320966485372618,611,20240102,20260714,,,,
512200.SH,801991.SI,航空机场,交通运输,0.6287652705411328,611,20240102,20260714,未启动,拥挤正常,4607.7507,中国国航
512200.SH,801972.SI,环保设备Ⅱ,,0.6244942051870757,611,20240102,20260714,,,,
512200.SH,801129.SI,调味发酵品Ⅱ,食品饮料,0.6241631882620648,611,20240102,20260714,未启动,拥挤正常,3229.3994,海天味业
512200.SH,801131.SI,纺织制造,,0.6224109230711801,611,20240102,20260714,,,,
512200.SH,801044.SI,普钢,钢铁,0.6174386282062801,611,20240102,20260714,观察中,拥挤正常,4539.4518,宝钢股份
512200.SH,801193.SI,证券Ⅱ,非银金融,0.6141871711428654,611,20240102,20260714,早期启动,拥挤正常,32209.174,中信证券
512200.SH,801993.SI,旅游及景区,,0.6125828579927782,611,20240102,20260714,,,,
512200.SH,801128.SI,休闲食品,,0.6104722011909657,611,20240102,20260714,,,,
512200.SH,801074.SI,专用设备,机械设备,0.609083783760555,611,20240102,20260714,观察中,拥挤正常,16667.8657,大族数控
512200.SH,801043.SI,冶钢原料,,0.6080239019422341,611,20240102,20260714,,,,
512200.SH,801145.SI,文娱用品,,0.6067058742001215,611,20240102,20260714,,,,
512200.SH,801995.SI,电视广播Ⅱ,,0.6062936457414972,611,20240102,20260714,,,,
512200.SH,801115.SI,照明设备Ⅱ,,0.6033059288961374,611,20240102,20260714,,,,
512200.SH,801153.SI,医疗器械,医药生物,0.5954881135498451,611,20240102,20260714,观察中,拥挤正常,12240.0311,迈瑞医疗
512200.SH,801045.SI,特钢Ⅱ,,0.5938295801159597,611,20240102,20260714,,,,
512200.SH,801036.SI,塑料,基础化工,0.5935237605683923,611,20240102,20260714,观察中,拥挤正常,7208.9751,上纬新材
512200.SH,801982.SI,化妆品,,0.5929852731381645,611,20240102,20260714,,,,
512200.SH,801037.SI,橡胶,,0.5891516797754893,611,20240102,20260714,,,,
512200.SH,801155.SI,中药Ⅱ,医药生物,0.5857926012661913,611,20240102,20260714,观察中,拥挤正常,7736.167,云南白药
