industry_code,industry_name,latest_date,total_mv_yi,prefilter_label,final_label,summary_line,prefilter_hit_count,structure_score,breakout_emerged,breakout_confirmed,leader_turning_strong_ok,leader_confirmed_ok,leader_count,leader_top1_name,leader_top1_pct_change,leader_top1_above_ma60,leader_top1_above_ma250,leader_follow_ok,leader_5d_rank_pct,local_activity_ok,has_ma250,has_amount_ma20,has_ret_120d_rank,note
801750.SI,计算机,20260602,44355.0898,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,1,2,False,False,False,False,3,海康威视,2.2954,False,True,True,-0.0390625,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801880.SI,汽车,20260602,43090.3925,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,1,3,False,False,False,False,3,比亚迪,3.3209,False,False,True,0.002175038839979271,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801120.SI,食品饮料,20260602,38700.8167,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,0,3,False,False,False,False,3,贵州茅台,-0.1817,False,False,False,0.02657494227960222,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801740.SI,国防军工,20260602,32050.1712,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,1,2,False,False,False,False,3,中国船舶,-0.7893,True,True,False,-0.057896097182734474,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801170.SI,交通运输,20260602,29814.1831,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,0,3,False,False,False,False,3,京沪高铁,1.5936,True,False,True,0.04938271604938249,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801130.SI,纺织服饰,20260602,6321.6908,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,1,3,False,False,False,False,3,华利集团,1.0052,False,False,True,0.014714368147720869,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801150.SI,医药生物,20260602,57102.3005,启动识别对象,观察中,观察中，已有局部转强线索，但条件不完整。,0,4,False,False,False,False,3,百济神州,-5.8819,False,False,False,-0.09529662405768613,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801790.SI,非银金融,20260602,55024.8081,启动识别对象,观察中,观察中，已有局部转强线索，但条件不完整。,0,4,False,False,False,False,3,中国平安,0.4271,False,False,True,-0.0035010134512623026,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801950.SI,煤炭,20260602,20922.3156,启动识别对象,观察中,观察中（偏弱），已有局部转强线索，但条件不完整。,1,3,True,True,False,False,3,中国神华,-1.551,True,True,False,0.07678571428571446,True,True,True,True,已补龙头强度、趋势位置与持续性字段
801010.SI,农林牧渔,20260602,12005.9162,启动识别对象,观察中,观察中，已有局部转强线索，但条件不完整。,0,4,False,False,False,False,3,牧原股份,-2.8027,False,False,False,-0.05037458021183161,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801180.SI,房地产,20260602,10716.1631,启动识别对象,观察中,观察中，已有局部转强线索，但条件不完整。,0,4,False,False,False,False,3,招商蛇口,-1.7582,True,False,False,0.02758620689655178,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801200.SI,商贸零售,20260602,9529.2971,启动识别对象,观察中,观察中，已有局部转强线索，但条件不完整。,0,4,False,False,False,False,3,中国中免,-2.9652,False,False,False,0.0072527861312576825,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801080.SI,电子,20260602,200967.2076,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,1,True,True,True,True,3,工业富联,8.4881,True,True,True,0.14332666476136047,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801780.SI,银行,20260602,105201.4995,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,3,False,False,False,False,3,建设银行,0.9921,True,True,True,-0.012609117361784716,True,True,True,True,已补龙头强度、趋势位置与持续性字段
801730.SI,电力设备,20260602,92230.3801,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,1,True,True,False,False,3,宁德时代,3.2826,True,True,True,0.07798757763975162,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801890.SI,机械设备,20260602,65978.7693,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,1,False,False,False,False,3,汇川技术,2.6443,True,True,True,-0.05452522255192871,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801770.SI,通信,20260602,58050.979,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,3,1,True,True,False,False,3,中国移动,1.5369,True,False,True,0.03323387179751003,True,True,True,True,已补龙头强度、趋势位置与持续性字段
801050.SI,有色金属,20260602,54908.6136,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,3,1,True,True,False,False,3,紫金矿业,4.6042,False,True,True,-0.040121580547112456,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801030.SI,基础化工,20260602,47114.6152,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,1,True,True,False,False,3,万华化学,-0.9097,False,True,False,-0.0311936065996391,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801160.SI,公用事业,20260602,42815.1299,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,2,True,True,False,False,3,长江电力,0.6842,True,True,True,0.030213706705969123,True,True,True,True,已补龙头强度、趋势位置与持续性字段
801960.SI,石油石化,20260602,31485.9947,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,3,True,True,False,False,3,中国石油,-1.4787,False,True,False,-0.027372262773722733,False,True,True,True,已补龙头强度、趋势位置与持续性字段
801110.SI,家用电器,20260602,18942.1083,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,3,False,False,False,False,3,美的集团,1.1016,True,True,True,0.038340666247642874,False,True,True,True,已补龙头强度、趋势位置与持续性字段
