industry_code,industry_name,l1_name,latest_date,close,pct_change,amount,float_mv,float_mv_yi,total_mv,total_mv_yi,passes_total_mv_gate
801081.SI,半导体,电子,20260602,10093.77,1.84,35256418.0,491421402.0,49142.1402,999850536.0,99985.0536,True
801782.SI,国有大型银行Ⅱ,银行,20260602,1899.03,0.37,947171.0,72361856.0,7236.1856,654576296.0,65457.6296,True
801102.SI,通信设备,通信,20260602,11878.92,6.48,22491143.0,302736333.0,30273.6333,469810273.0,46981.0273,True
801085.SI,消费电子,电子,20260602,12296.63,2.52,13511889.0,154544217.0,15454.4217,412758927.0,41275.8927,True
801737.SI,电池,电力设备,20260602,27427.33,1.29,9717881.0,236178650.0,23617.865,401782809.0,40178.2809,True
801161.SI,电力,公用事业,20260602,3820.14,-0.77,11426172.0,117242938.0,11724.2938,399604580.0,39960.458,True
801083.SI,元件,电子,20260602,24989.79,5.63,17658762.0,174452716.0,17445.2716,335396443.0,33539.6443,True
801193.SI,证券Ⅱ,非银金融,20260602,5919.3,0.15,3254508.0,147670363.0,14767.0363,305908863.0,30590.8863,True
801963.SI,炼化及贸易,石油石化,20260602,2952.55,-0.79,1089904.0,36661907.0,3666.1907,278763992.0,27876.3992,True
801093.SI,汽车零部件,汽车,20260602,8294.18,-0.3,6431975.0,131028118.0,13102.8118,267830165.0,26783.0165,True
801055.SI,工业金属,有色金属,20260602,3547.26,4.19,6983968.0,148591819.0,14859.1819,267537706.0,26753.7706,True
801125.SI,白酒Ⅱ,食品饮料,20260602,37826.7,-0.75,1429868.0,101476103.0,10147.6103,252372839.0,25237.2839,True
801783.SI,股份制银行Ⅱ,银行,20260602,4203.79,0.94,1192101.0,99177619.0,9917.7619,248590209.0,24859.0209,True
801072.SI,通用设备,机械设备,20260602,8631.75,0.93,8085112.0,103959141.0,10395.9141,226533224.0,22653.3224,True
801951.SI,煤炭开采,煤炭,20260602,3923.56,-1.17,3028055.0,50626877.0,5062.6877,203618368.0,20361.8368,True
801738.SI,电网设备,电力设备,20260602,6681.96,-1.88,6411228.0,102701264.0,10270.1264,193517827.0,19351.7827,True
