l1_name,industry_code,industry_name,latest_date,total_mv_yi,prefilter_label,final_label,summary_line,prefilter_hit_count,structure_score,ma60_early_signal,ma60_deep_below_ma120_ok,ma60_turning_up_ok,close_near_ma60_ok,close_above_ma60_ok,ma60,ma120,ma250,ma60_below_ma120_min_gap,ma60_current_gap_to_ma120,ma60_slope_20d,close_to_ma60_gap,breakout_emerged,breakout_confirmed,leader_turning_strong_ok,leader_confirmed_ok,leader_count,leader_group_names,leader_group_detail,leader_active_count,leader_top1_name,leader_top1_pct_change,leader_top1_above_ma60,leader_top1_above_ma250,leader_follow_ok,leader_5d_rank_pct,leaders_above_ma60_count,leaders_above_ma250_count,leaders_above_ma60_ratio,leaders_above_ma250_ratio,local_activity_ok,has_ma250,has_amount_ma20,has_ret_120d_rank,industry_amount,market_amount,absorption_rate,absorption_rate_rank_pct,absorption_rate_5d_change,crowding_label,crowding_note
电子,801081.SI,半导体,20260714,124663.9789,趋势延续对象,趋势延续型强势,趋势延续型强势，不属于启动识别对象。,3,1,,False,True,True,True,10757.029166666667,9211.177166666666,7723.45612,0.039758574362128485,0.1678235009520952,0.20664522036433652,0.16374417193098934,False,False,True,False,10,中芯国际、寒武纪、海光信息、华虹公司、北方华创、兆易创新、沐曦股份-U、中微公司、盛合晶微、澜起科技,中芯国际 -1.58%、寒武纪 +1.51%、海光信息 -1.20%、华虹公司 +0.74%、北方华创 +1.30%、兆易创新 +6.03%、沐曦股份-U +0.22%、中微公司 -0.81%、盛合晶微 -0.28%、澜起科技 +6.81%,5,中芯国际,-1.5833,True,True,False,0.10706917892999601,9,8,0.9,0.8,False,True,True,True,53852781.0,2719494232.14938,0.019802498701178308,0.991869918699187,0.0031872872340767064,过热退潮,吸筹率已处极高分位，同时出现龙头或成交拥挤退潮信号。
电子,801083.SI,元件,20260714,34406.1242,趋势延续对象,趋势延续型强势,趋势延续型强势，不属于启动识别对象。,3,3,,False,True,True,True,23842.752833333336,19137.53241666667,15444.029879999998,0.026676553232568345,0.2458634851256447,0.21852742205321074,0.06726728150385486,False,False,True,True,7,东山精密、生益科技、胜宏科技、深南电路、沪电股份、鹏鼎控股、三环集团,东山精密 +10.00%、生益科技 +10.00%、胜宏科技 +6.33%、深南电路 +3.91%、沪电股份 +10.00%、鹏鼎控股 +9.28%、三环集团 +9.02%,6,东山精密,10.0,True,True,True,0.09921053742559205,6,7,0.8571428571428571,1.0,True,True,True,True,15276041.0,2719494232.14938,0.005617236035807447,0.9390243902439024,0.0009441815952940785,拥挤偏高,吸筹率已偏高，后续需要观察是否继续缩圈。
电子,801086.SI,电子化学品Ⅱ,20260714,8599.9177,趋势延续对象,趋势延续型强势,趋势延续型强势，不属于启动识别对象。,3,2,,False,True,True,True,13037.415,11014.61375,8883.85644,0.05611974571309242,0.18364704345624472,0.21918025478999548,0.09324739605205479,False,False,True,True,10,鼎龙股份、国瓷材料、安集科技、广钢气体、南大光电、中巨芯-U、兴福电子、上海新阳、天通股份、华特气体,鼎龙股份 +3.35%、国瓷材料 +9.37%、安集科技 -1.37%、广钢气体 -3.77%、南大光电 +0.54%、中巨芯-U +4.96%、兴福电子 +0.26%、上海新阳 +2.13%、天通股份 +6.79%、华特气体 +0.62%,2,鼎龙股份,3.3534,True,True,True,-0.09489371027832583,9,10,0.9,1.0,False,True,True,True,5024967.0,2719494232.14938,0.0018477579178494765,0.9186991869918699,-0.0002826714684662664,拥挤偏高,吸筹率已偏高，后续需要观察是否继续缩圈。
建筑材料,801712.SI,玻璃玻纤,20260714,7858.8274,趋势延续对象,趋势延续型强势,趋势延续型强势，不属于启动识别对象。,3,2,,False,True,True,True,23143.772666666668,18736.995416666665,14285.00884,0.033596281755041923,0.2351912434199641,0.2588282516744973,0.09710764816534234,False,False,True,True,3,中国巨石、宏和科技、国际复材,中国巨石 +8.76%、宏和科技 +9.02%、国际复材 +15.08%,3,中国巨石,8.7572,True,True,True,-0.09133333333333327,3,3,1.0,1.0,False,True,True,True,3063098.0,2719494232.14938,0.001126348408387338,0.9634146341463414,-0.0001658769925890907,过热预警,吸筹率处于高分位，追高容错率下降。
通信,801102.SI,通信设备,20260714,46712.0083,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,3,,False,True,True,True,11321.721833333335,9350.475166666665,7311.7742,0.0831003657582774,0.21081780674568606,0.15490965974449655,0.03175737506711096,False,False,True,True,6,中际旭创、新易盛、长飞光纤、天孚通信、光迅科技、中兴通讯,中际旭创 +6.86%、新易盛 +10.99%、长飞光纤 +4.79%、天孚通信 +5.48%、光迅科技 +7.85%、中兴通讯 -0.32%,5,中际旭创,6.8637,True,True,True,0.05539709421517047,3,6,0.5,1.0,True,True,True,True,21746820.0,2719494232.14938,0.007996641339743595,0.9471544715447154,0.0019723080919132564,拥挤偏高,吸筹率已偏高，后续需要观察是否继续缩圈。
电子,801084.SI,光学光电子,20260714,16649.4627,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,2,,False,True,True,False,2080.358333333333,1922.96275,1757.4999599999999,0.007122859374793178,0.0818505628012467,0.103545191365362,-0.019683307763486146,False,False,True,True,10,京东方A、TCL科技、三安光电、奥比中光-W、水晶光电、视涯科技-UW、彩虹股份、光智科技、福晶科技、和辉光电-U,京东方A +2.78%、TCL科技 +6.65%、三安光电 -4.83%、奥比中光-W +1.74%、水晶光电 +5.39%、视涯科技-UW -0.28%、彩虹股份 +4.83%、光智科技 +14.35%、福晶科技 +2.86%、和辉光电-U +3.02%,3,京东方A,2.7818,True,True,True,-0.07387862796833777,6,8,0.6,0.8,False,True,True,True,7533176.0,2719494232.14938,0.002770065077154467,0.8780487804878049,-0.0007472486577767166,拥挤偏高,吸筹率已偏高，后续需要观察是否继续缩圈。
机械设备,801078.SI,自动化设备,20260714,13830.0337,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,2,,False,True,False,False,23755.6345,21205.928499999998,18432.07668,0.0032762140761837255,0.12023552753184097,0.1059959339886194,-0.03974570748678585,False,False,True,False,10,汇川技术、华工科技、大族激光、罗博特科、中控技术、绿的谐波、杰普特、埃斯顿、博杰股份、机器人,汇川技术 -1.15%、华工科技 +3.63%、大族激光 +1.90%、罗博特科 +2.80%、中控技术 +2.23%、绿的谐波 +1.94%、杰普特 +8.72%、埃斯顿 -0.26%、博杰股份 +10.00%、机器人 +0.73%,2,汇川技术,-1.1485,False,False,False,-0.08781226343679027,6,8,0.6,0.8,False,True,True,True,5639831.0,2719494232.14938,0.0020738529000454992,0.8252032520325203,-0.0005716597023884581,拥挤偏高,吸筹率已偏高，后续需要观察是否继续缩圈。
有色金属,801054.SI,小金属,20260714,12109.5457,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,2,,False,True,False,False,41810.404833333334,40122.64366666667,32834.4006,0.033532613669843725,0.04206505385558201,0.07026181133781861,-0.0916737077436176,False,False,True,False,7,中钨高新、北方稀土、中国铀业、厦门钨业、金钼股份、云南锗业、锡业股份,中钨高新 +7.83%、北方稀土 +2.18%、中国铀业 +2.85%、厦门钨业 +5.80%、金钼股份 +3.33%、云南锗业 +5.03%、锡业股份 +6.58%,4,中钨高新,7.8287,True,True,True,-0.026678813118167555,2,5,0.2857142857142857,0.7142857142857143,False,True,True,True,4071130.0,2719494232.14938,0.001497017332072935,0.43089430894308944,-0.0004552706105042958,拥挤正常,吸筹率未进入明显拥挤区间。
医药生物,801156.SI,医疗服务,20260714,9353.6116,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,0,,False,True,True,True,6569.340833333334,6666.111916666667,6631.99024,-0.024261619834064607,-0.01451687048508521,0.008209443967089891,0.10983585491644332,True,True,True,True,5,药明康德、爱尔眼科、康龙化成、凯莱英、百奥赛图,药明康德 +6.05%、爱尔眼科 +1.82%、康龙化成 +8.36%、凯莱英 +7.63%、百奥赛图 +0.63%,4,药明康德,6.0462,True,True,True,0.07785291631445479,4,3,0.8,0.6,True,True,True,True,3566050.0,2719494232.14938,0.0013112916210090786,0.8699186991869918,7.94468822034025e-05,拥挤偏高,吸筹率已偏高，后续需要观察是否继续缩圈。
电子,801082.SI,其他电子Ⅱ,20260714,4909.4794,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,2,3,,False,True,False,False,19856.01583333333,18253.515333333336,16084.464759999999,0.02149216925261066,0.08779133611998646,0.11167688471239834,-0.02521078939174548,False,False,True,True,9,香农芯创、洁美科技、旭光电子、深圳华强、沃尔核材、中电港、英唐智控、瑞可达、力源信息,香农芯创 +6.50%、洁美科技 +6.76%、旭光电子 +8.09%、深圳华强 -5.22%、沃尔核材 +0.55%、中电港 +2.00%、英唐智控 +5.61%、瑞可达 +1.25%、力源信息 +0.41%,4,香农芯创,6.4991,True,True,True,-0.05500757172676307,5,6,0.5555555555555556,0.6666666666666666,False,True,True,True,2945555.0,2719494232.14938,0.0010831260332080021,0.7967479674796748,1.552430369318263e-05,拥挤正常,吸筹率未进入明显拥挤区间。
